Name,Symbol,Sector,Exchange,Country
ATA Creativity Global,AACG,Consumer Defensive,NGM,China
"Aadi Bioscience, Inc.",AADI,Healthcare,NCM,United States
AdvisorShares Dorsey Wright ADR ETF,AADR,,NGM,
African Agriculture Holdings Inc.,AAGR,Consumer Defensive,NGM,United States
African Agriculture Holdings Inc.,AAGRW,Consumer Defensive,NGM,United States
American Airlines Group Inc.,AAL,Industrials,NMS,United States
Atlantic American Corporation,AAME,Financial Services,NGM,United States
"Applied Optoelectronics, Inc.",AAOI,Technology,NGM,United States
"AAON, Inc.",AAON,Industrials,NMS,United States
GraniteShares 2x Long AAPL Daily ETF,AAPB,,NGM,
Direxion Daily AAPL Bear 1X Shares,AAPD,,NGM,
Apple Inc.,AAPL,Technology,NMS,United States
Direxion Daily AAPL Bull 2X Shares,AAPU,,NGM,
iShares MSCI All Country Asia ex Japan ETF,AAXJ,,NGM,
American Battery Technology Company,ABAT,Basic Materials,NCM,United States
AbCellera Biologics Inc.,ABCL,Healthcare,NMS,Canada
Alpha Blue Capital US Small-Mid Cap Dynamic ETF,ABCS,,NGM,
Abeona Therapeutics Inc.,ABEO,Healthcare,NCM,United States
"Abacus Life, Inc.",ABL,Financial Services,NCM,United States
"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",ABLLL,,NGM,
"Abacus Life, Inc.",ABLLW,,NCM,
Able View Global Inc.,ABLV,Communication Services,NCM,China
Able View Global Inc.,ABLVW,Communication Services,NCM,China
"Airbnb, Inc.",ABNB,Consumer Cyclical,NMS,United States
"Acumen Pharmaceuticals, Inc.",ABOS,Healthcare,NMS,United States
Absci Corporation,ABSI,Healthcare,NMS,United States
Abits Group Inc.,ABTS,Financial Services,NCM,Hong Kong
Arbutus Biopharma Corporation,ABUS,Healthcare,NMS,United States
"ABVC BioPharma, Inc.",ABVC,Healthcare,NCM,United States
Above Food Ingredients Inc.,ABVE,Consumer Defensive,NGM,Canada
Above Food Ingredients Inc.,ABVEW,Consumer Defensive,NGM,Canada
ABIVAX Société Anonyme,ABVX,Healthcare,NGM,France
Atlantic Coastal Acquisition Corp. II,ACAB,Financial Services,NGM,United States
Atlantic Coastal Acquisition Corp. II,ACABU,Financial Services,NGM,United States
Atlantic Coastal Acquisition Corp. II,ACABW,Financial Services,NGM,United States
Acri Capital Acquisition Corporation,ACAC,Financial Services,NCM,United States
Acri Capital Acquisition Corporation,ACACU,Financial Services,NCM,United States
Acri Capital Acquisition Corporation,ACACW,,NCM,
ACADIA Pharmaceuticals Inc.,ACAD,Healthcare,NMS,United States
Aurora Cannabis Inc.,ACB,Healthcare,NCM,Canada
"Accolade, Inc.",ACCD,Healthcare,NMS,United States
ProFrac Holding Corp.,ACDC,Energy,NMS,United States
"Adicet Bio, Inc.",ACET,Healthcare,NGM,United States
Arch Capital Group Ltd.,ACGL,Financial Services,NMS,Bermuda
Arch Capital Group Ltd.,ACGLN,Financial Services,NMS,Bermuda
Arch Capital Group Ltd.,ACGLO,Financial Services,NMS,Bermuda
"Acadia Healthcare Company, Inc.",ACHC,Healthcare,NMS,United States
Achilles Therapeutics plc,ACHL,Healthcare,NMS,United Kingdom
"Achieve Life Sciences, Inc.",ACHV,Healthcare,NCM,Canada
American Coastal Insurance Corporation,ACIC,Financial Services,NCM,United States
AC Immune SA,ACIU,Healthcare,NGM,Switzerland
"ACI Worldwide, Inc.",ACIW,Technology,NMS,United States
"Axcelis Technologies, Inc.",ACLS,Technology,NMS,United States
"Arcellx, Inc.",ACLX,Healthcare,NMS,United States
"ACM Research, Inc.",ACMR,Technology,NGM,United States
ACNB Corporation,ACNB,Financial Services,NCM,United States
Ascent Industries Co.,ACNT,Basic Materials,NGM,United States
"Aclarion, Inc.",ACON,Healthcare,NCM,United States
"Aclarion, Inc.",ACONW,Healthcare,NCM,United States
"Aclaris Therapeutics, Inc.",ACRS,Healthcare,NMS,United States
"Acrivon Therapeutics, Inc.",ACRV,Healthcare,NGM,United States
Acasti Pharma Inc.,ACST,Healthcare,NCM,United States
"Enact Holdings, Inc.",ACT,Financial Services,NMS,United States
Acacia Research Corporation,ACTG,Industrials,NMS,United States
"Actuate Therapeutics, Inc. Common stock",ACTU,Healthcare,NGM,United States
ACV Auctions Inc.,ACVA,Consumer Cyclical,NMS,United States
iShares MSCI ACWI ETF,ACWI,,NGM,
iShares MSCI ACWI ex U.S. ETF,ACWX,,NGM,
"Acurx Pharmaceuticals, Inc.",ACXP,Healthcare,NCM,United States
Adagene Inc.,ADAG,Healthcare,NGM,China
Adaptimmune Therapeutics plc,ADAP,Healthcare,NMS,United Kingdom
Adobe Inc.,ADBE,Technology,NMS,United States
"Color Star Technology Co., Ltd.",ADD,Communication Services,NCM,United States
Adeia Inc.,ADEA,Technology,NMS,United States
"Adagio Medical Holdings, Inc.",ADGM,Healthcare,NCM,United States
"Analog Devices, Inc.",ADI,Technology,NMS,United States
"Adial Pharmaceuticals, Inc.",ADIL,Healthcare,NCM,United States
"ADMA Biologics, Inc.",ADMA,Healthcare,NGM,United States
"Advent Technologies Holdings, Inc.",ADN,Utilities,NCM,United States
"Advent Technologies Holdings, Inc.",ADNWW,Utilities,NCM,United States
"Automatic Data Processing, Inc.",ADP,Technology,NMS,United States
Adaptive Biotechnologies Corporation,ADPT,Healthcare,NMS,United States
ADS-TEC Energy PLC,ADSE,Industrials,NCM,Ireland
ADS-TEC Energy PLC,ADSEW,Industrials,NCM,Ireland
"Autodesk, Inc.",ADSK,Technology,NMS,United States
"ADTRAN Holdings, Inc.",ADTN,Technology,NMS,United States
