Name,Symbol,Sector,Exchange,Country
NIFTY 50,NIFTY 50,,NSE,India
HINDUNILVR,HINDUNILVR,,NSE,India
SHRIRAMFIN,SHRIRAMFIN,,NSE,India
ICICIBANK,ICICIBANK,,NSE,India
ITC,ITC,,NSE,India
BRITANNIA,BRITANNIA,,NSE,India
KOTAKBANK,KOTAKBANK,,NSE,India
TATACONSUM,TATACONSUM,,NSE,India
INDUSINDBK,INDUSINDBK,,NSE,India
AXISBANK,AXISBANK,,NSE,India
DIVISLAB,DIVISLAB,,NSE,India
CIPLA,CIPLA,,NSE,India
NESTLEIND,NESTLEIND,,NSE,India
GRASIM,GRASIM,,NSE,India
ULTRACEMCO,ULTRACEMCO,,NSE,India
HDFCBANK,HDFCBANK,,NSE,India
SBIN,SBIN,,NSE,India
M&M,M&M,,NSE,India
BAJFINANCE,BAJFINANCE,,NSE,India
BAJAJ-AUTO,BAJAJ-AUTO,,NSE,India
BAJAJFINSV,BAJAJFINSV,,NSE,India
BHARTIARTL,BHARTIARTL,,NSE,India
INFY,INFY,,NSE,India
ASIANPAINT,ASIANPAINT,,NSE,India
SBILIFE,SBILIFE,,NSE,India
LT,LT,,NSE,India
TCS,TCS,,NSE,India
HEROMOTOCO,HEROMOTOCO,,NSE,India
RELIANCE,RELIANCE,,NSE,India
JSWSTEEL,JSWSTEEL,,NSE,India
LTIM,LTIM,,NSE,India
EICHERMOT,EICHERMOT,,NSE,India
DRREDDY,DRREDDY,,NSE,India
ADANIPORTS,ADANIPORTS,,NSE,India
ADANIENT,ADANIENT,,NSE,India
MARUTI,MARUTI,,NSE,India
SUNPHARMA,SUNPHARMA,,NSE,India
HCLTECH,HCLTECH,,NSE,India
HDFCLIFE,HDFCLIFE,,NSE,India
POWERGRID,POWERGRID,,NSE,India
TITAN,TITAN,,NSE,India
COALINDIA,COALINDIA,,NSE,India
APOLLOHOSP,APOLLOHOSP,,NSE,India
WIPRO,WIPRO,,NSE,India
TATAMOTORS,TATAMOTORS,,NSE,India
NTPC,NTPC,,NSE,India
HINDALCO,HINDALCO,,NSE,India
TATASTEEL,TATASTEEL,,NSE,India
BPCL,BPCL,,NSE,India
TECHM,TECHM,,NSE,India
ONGC,ONGC,,NSE,India
